Region Index;Subjects of Russia;Unemployment rate. %;Income per capita. RUB;Average salary. RUB per month;Spendings per capita. RUB;State housing. %;Higher Education. %;Number of doctors per 10000 citizens;GRP per capita. RUB;Investment in total capital;Consumer Price Index (CPI);Average income / min. living wage;Average costs / min. living wage;Votes for United Russia. %
58;St. Petersburg;43618;24594;27189.5;17690;43632;93.2;85.3;320916.4;77336;109.4;11780;43772;35.369
59;Saratovskaya Oblast;43530;11961;14554;8117;43557;43701;52;127364.8;30916;108.5;43467;15707;64.888
60;Sakhalin Oblast;43533;31078;35847.9;22182;43647;43468;49.1;765221.8;262281;110;16923;43711;41.907
61;Sverdlovsk Oblast;43593;22128;19756.7;16689;43652;42.3;45.7;187480.9;50581;110;32568;34001;32.707
62;North Ossetia;43686;13228;11817.6;8566;0.5;43652;70.8;92881.4;19653;110.7;12086;18629;67.899
63;Smolenskaya Oblast;43562;14770;14513;10605;43647;9;59.7;129102.3;47807;110.9;43618;31413;36.227
64;Stavropol Oblast;43714;12913;13949;10931;43648;43675;39.5;102414.9;32035;110.1;46419;33604;49.115
65;Tambov Oblast;43715;13592;12623.9;9715;43467;43716;34;122258.7;45682;108.1;14277;25934;66.658
66;Tatarstan;43530;18158;17350.1;13820;43517;45.2;44.2;234324.4;80841;108.2;43525;15738;77.833
67;Tverskaya Oblast;43622;13925;16155.3;10168;43526;43563;53.1;144993.3;59338;109.7;16469;28856;38.441
68;Tomsk Oblast;43715;15098;21450.2;9776;43678;43663;69.3;232901.1;72562;107.9;23774;26299;37.514
69;Tuva;22;10050;17530;4242;0.3;1;45.6;85322;20714;108.3;28126;0.75;85.294
70;Tula Oblast;43682;15358;15640.7;10483;43497;43625;33.1;138108.7;42388;110.1;43648;30682;61.32
71;Tyumen Oblast;43714;28049;38212.7;17442;43622;43496;54;849163.2;310231;108.4;34060;43649;62.211
72;Udmurtia;43533;12423;14291.1;8216;4;43723;58.5;150170;27800;110.9;43132;16072;45.094
73;Ulyanovskaya Oblast;43716;12905;13339;8692;43499;43566;36.2;117244.6;34638;110.6;46419;19360;43.563
74;Khabarovsk Krai;43474;22607;22656.5;14765;43466;43694;61;196252.8;97495;108.1;35490;43618;38.136
75;Khakassia;43474;12776;18358.4;7910;0.9;43711;38.1;155660.1;38021;108.4;45689;14246;40.134
76;Khanty-Mansiysk a.o.;43592;31264;41314.6;18436;43587;43591;55.2;350507.04;326379;107.8;43590;45352;41.009
77;Chelyabinsk Oblast;43623;16714;17370.2;11365;43650;32.8;42.9;160939.6;39911;109.6;34366;2;50.285
78;Chechnya;43.1;0;13918.7;0;43466;43529;43552;51138.9;31246;112.1;0;0;99.478
79;Chuvashia;43505;10885;13004.4;7627;43680;43722;47.6;109067.7;34948;109.8;33239;12420;43.42
80;Chukotka a.o.;43469;37422;46865.7;13771;0.4;0;76.7;925411.9;86296;101.4;21337;15373;70.32
81;Yakutia;43685;23024;28708;14480;43498;43652;57.1;347195.6;122341;106;43589;20121;49.159
82;Yamalo-Nenets a.o.;43559;41865;52618.8;20774;43586;0.8;51.2;735221.8;740241;108.2;13332;23802;71.679
83;Yaroslavskaya Oblast;43623;14548;16075.8;9571;43587;43534;62.9;162643.2;49919;110.5;20486;24838;29.039
